"Day ","Items ","Note ","Amount "
"89","Retail","Revenue - Retail Sales San Francisco - Mouthwash","4250"
"89","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","6550"
"89","Retail","Revenue - Retail Sales San Francisco - Shampoo","5250"
"89","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","10860"
"89","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","18060"
"89","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6780"
"89","Retail","Revenue - Retail Sales New York - Mouthwash","45120"
"89","Retail","Revenue - Retail Sales New York - Body Wash  ","82320"
"89","Retail","Revenue - Retail Sales New York - Shampoo","31740"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","3850"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","8700"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4750"
"89","Retail","Revenue - Retail Sales Chicago - Mouthwash","6000"
"89","Retail","Revenue - Retail Sales Chicago - Body Wash  ","18400"
"89","Retail","Revenue - Retail Sales Chicago - Shampoo","6050"
"89","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"89","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"89","Rental Expense","Cash Payment - Rental - New York","-4020"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"89","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"89","Rental Expense","Cash Payment - Rental - Miami","-1800"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15009 ","-15000"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15009 ","-17000"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15009 ","-19000"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"88","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"88","Salary Expense","Cash Payment - Salary Expense","-33719"
"88","Retail","Revenue - Retail Sales Detroit - Mouthwash","8450"
"88","Retail","Revenue - Retail Sales Detroit - Body Wash  ","15350"
"88","Retail","Revenue - Retail Sales Detroit - Shampoo","10850"
"88","Retail","Revenue - Retail Sales San Francisco - Mouthwash","4200"
"88","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","6400"
"88","Retail","Revenue - Retail Sales San Francisco - Shampoo","5300"
"88","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","11340"
"88","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","18410"
"88","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6300"
"88","Retail","Revenue - Retail Sales New York - Mouthwash","47250"
"88","Retail","Revenue - Retail Sales New York - Body Wash  ","90790"
"88","Retail","Revenue - Retail Sales New York - Shampoo","33040"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","4250"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","9650"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","5000"
"88","Retail","Revenue - Retail Sales Chicago - Mouthwash","5850"
"88","Retail","Revenue - Retail Sales Chicago - Body Wash  ","20250"
"88","Retail","Revenue - Retail Sales Chicago - Shampoo","6500"
"88","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"88","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"88","Rental Expense","Cash Payment - Rental - New York","-4020"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"88","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"88","Rental Expense","Cash Payment - Rental - Miami","-1800"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14843 ","-15000"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14843 ","-17340"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14843 ","-19000"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"87","Salary Expense","Cash Payment - Salary Expense","-33660"
"87","Retail","Revenue - Retail Sales Detroit - Mouthwash","8040"
"87","Retail","Revenue - Retail Sales Detroit - Body Wash  ","13560"
"87","Retail","Revenue - Retail Sales Detroit - Shampoo","10680"
"87","Retail","Revenue - Retail Sales San Francisco - Mouthwash","3600"
"87","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","5520"
"87","Retail","Revenue - Retail Sales San Francisco - Shampoo","4680"
"87","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","12320"
"87","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","18880"
"87","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6400"
"87","Retail","Revenue - Retail Sales New York - Mouthwash","50000"
"87","Retail","Revenue - Retail Sales New York - Body Wash  ","94000"
"87","Retail","Revenue - Retail Sales New York - Shampoo","32720"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","3840"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","9120"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4320"
"87","Retail","Revenue - Retail Sales Chicago - Mouthwash","5820"
"87","Retail","Revenue - Retail Sales Chicago - Body Wash  ","21060"
"87","Retail","Revenue - Retail Sales Chicago - Shampoo","5880"
"87","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"87","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"87","Rental Expense","Cash Payment - Rental - New York","-4020"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"87","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"87","Rental Expense","Cash Payment - Rental - Miami","-1800"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14678 ","-45450"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14678 ","-52530"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14678 ","-57570"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14684 ","-45450"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14684 ","-52530"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14684 ","-57570"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14862 ","-15000"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14862 ","-17340"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14862 ","-19000"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"86","Salary Expense","Cash Payment - Salary Expense","-33573"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 339","-15000"
"86","Retail","Revenue - Retail Sales Detroit - Mouthwash","7740"
"86","Retail","Revenue - Retail Sales Detroit - Body Wash  ","13200"
"86","Retail","Revenue - Retail Sales Detroit - Shampoo","10440"
"86","Retail","Revenue - Retail Sales San Francisco - Mouthwash","3900"
"86","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","5460"
"86","Retail","Revenue - Retail Sales San Francisco - Shampoo","4740"
"86","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","12880"
"86","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","20400"
"86","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6320"
"86","Retail","Revenue - Retail Sales New York - Mouthwash","52880"
"86","Retail","Revenue - Retail Sales New York - Body Wash  ","98240"
"86","Retail","Revenue - Retail Sales New York - Shampoo","30160"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","3840"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","8820"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4440"
"86","Retail","Revenue - Retail Sales Chicago - Mouthwash","6060"
"86","Retail","Revenue - Retail Sales Chicago - Body Wash  ","21480"
"86","Retail","Revenue - Retail Sales Chicago - Shampoo","5880"
"86","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"86","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"86","Rental Expense","Cash Payment - Rental - New York","-4020"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"86","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"86","Rental Expense","Cash Payment - Rental - Miami","-1800"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 11747","282695"
"85","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 11747","-60000"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"85","Salary Expense","Cash Payment - Salary Expense","-33548"
"85","Retail","Revenue - Retail Sales Detroit - Mouthwash","8160"
"85","Retail","Revenue - Retail Sales Detroit - Body Wash  ","12780"
"85","Retail","Revenue - Retail Sales Detroit - Shampoo","10440"
"85","Retail","Revenue - Retail Sales San Francisco - Mouthwash","3600"
"85","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","5580"
"85","Retail","Revenue - Retail Sales San Francisco - Shampoo","4500"
"85","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","12640"
"85","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","19200"
"85","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6640"
"85","Retail","Revenue - Retail Sales New York - Mouthwash","53920"
"85","Retail","Revenue - Retail Sales New York - Body Wash  ","98240"
"85","Retail","Revenue - Retail Sales New York - Shampoo","32080"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","3720"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","9480"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4320"
"85","Retail","Revenue - Retail Sales Chicago - Mouthwash","5940"
"85","Retail","Revenue - Retail Sales Chicago - Body Wash  ","21900"
"85","Retail","Revenue - Retail Sales Chicago - Shampoo","6420"
"85","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"85","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"85","Rental Expense","Cash Payment - Rental - New York","-4020"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"85","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"85","Rental Expense","Cash Payment - Rental - Miami","-1800"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"84","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"84","Salary Expense","Cash Payment - Salary Expense","-33527"
"84","Retail","Revenue - Retail Sales Detroit - Mouthwash","7980"
"84","Retail","Revenue - Retail Sales Detroit - Body Wash  ","13380"
"84","Retail","Revenue - Retail Sales Detroit - Shampoo","10920"
"84","Retail","Revenue - Retail Sales San Francisco - Mouthwash","3660"
"84","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","5760"
"84","Retail","Revenue - Retail Sales San Francisco - Shampoo","4860"
"84","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","12480"
"84","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","20560"
"84","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6640"
"84","Retail","Revenue - Retail Sales New York - Mouthwash","51840"
"84","Retail","Revenue - Retail Sales New York - Body Wash  ","98240"
"84","Retail","Revenue - Retail Sales New York - Shampoo","31440"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","3900"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","9780"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4500"
"84","Retail","Revenue - Retail Sales Chicago - Mouthwash","5940"
"84","Retail","Revenue - Retail Sales Chicago - Body Wash  ","22860"
"84","Retail","Revenue - Retail Sales Chicago - Shampoo","6180"
"84","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"84","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"84","Rental Expense","Cash Payment - Rental - New York","-4020"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"84","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"84","Rental Expense","Cash Payment - Rental - Miami","-1800"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14126 ","-15450"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14126 ","-17000"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14126 ","-19000"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"83","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"83","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"83","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"83","Salary Expense","Cash Payment - Salary Expense","-33441"
"83","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 339","-15000"
"83","Retail","Revenue - Retail Sales Detroit - Mouthwash","7650"
"83","Retail","Revenue - Retail Sales Detroit - Body Wash  ","12000"
"83","Retail","Revenue - Retail Sales Detroit - Shampoo","9600"
"83","Retail","Revenue - Retail Sales San Francisco - Mouthwash","2925"
"83","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","4275"
"83","Retail","Revenue - Retail Sales San Francisco - Shampoo","3750"
"83","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","14000"
"83","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","20900"
"83","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6000"
"83","Retail","Revenue - Retail Sales New York - Mouthwash","57300"
"83","Retail","Revenue - Retail Sales New York - Body Wash  ","107400"
"83","Retail","Revenue - Retail Sales New York - Shampoo","29200"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","3225"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","10500"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4200"
"83","Retail","Revenue - Retail Sales Chicago - Mouthwash","5775"
"83","Retail","Revenue - Retail Sales Chicago - Body Wash  ","24600"
"83","Retail","Revenue - Retail Sales Chicago - Shampoo","5850"
"83","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"83","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"83","Rental Expense","Cash Payment - Rental - New York","-4020"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"83","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"83","Rental Expense","Cash Payment - Rental - Miami","-1800"
"82","Sales E Commerce","Revenue - ECM SO ID: 13571","28161"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"82","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"82","Salary Expense","Cash Payment - Salary Expense","-33420"
"82","Retail","Revenue - Retail Sales Detroit - Mouthwash","21900"
"82","Retail","Revenue - Retail Sales Detroit - Body Wash  ","43950"
"82","Retail","Revenue - Retail Sales Detroit - Shampoo","29400"
"82","Retail","Revenue - Retail Sales San Francisco - Mouthwash","11625"
"82","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","18900"
"82","Retail","Revenue - Retail Sales San Francisco - Shampoo","14025"
"82","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","21400"
"82","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","31900"
"82","Retail","Revenue - Retail Sales Los Angeles - Shampoo","14400"
"82","Retail","Revenue - Retail Sales New York - Mouthwash","88000"
"82","Retail","Revenue - Retail Sales New York - Body Wash  ","158900"
"82","Retail","Revenue - Retail Sales New York - Shampoo","73200"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","10125"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","18675"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","12525"
"82","Retail","Revenue - Retail Sales Chicago - Mouthwash","15975"
"82","Retail","Revenue - Retail Sales Chicago - Body Wash  ","43275"
